comment,keyword,emotion,sentiment
I don’t know if this is real or not,real,surprise,NEG
cute ☺️,cute,joy,POS
I saw her today 😮 Wait it? Yeah I saw it today 😭😭🙌,today,surprise,NEU
I don’t know if this is real or not,real,surprise,NEG
girlll you are so beautifulll 🥰🥰🥰,beautifulll,joy,POS
Ur So Pretty For A Robot! <33,robot,joy,POS
do people get scared you go out,scared,fear,NEU
PHIN?!?!,phin,anger,NEU
the phone screamed Android the emojis screamed iPhone they both screamed Hol up wait a minute some ain't right,phone,disgust,NEU
Wait how come u have android and u have iPhone emojis ?? 👁👄👁,android,surprise,NEU
Are you still trying to convince us? Come on,convince,disgust,NEU
Are you really,really,surprise,NEU
Imagine if she gets canceled for saying the n word,canceled,disgust,NEG
Why do you try so hard,try,disgust,NEG
But your bio says your a robot,robot,disgust,NEU
@romy_roseee i am scared,romy_roseee,fear,NEG
HER EYES,eyes,surprise,NEU
This is a joke right?,joke,disgust,NEG
Ur android have iPhone emojis wow,emojis,surprise,POS
You are more perfect than ✨I✨ will ever be 🤩,perfect,joy,POS
She’s not human. This is why I don’t trust anyone cause Yall tryna make robots the future. Humans are beautiful not robots,human,disgust,NEG
Wait whattt are u,whattt,surprise,NEU
wait how she got iPhone emojis???,emojis,surprise,NEU
Your very pretty tho🥺,pretty,joy,POS
PLSSS YOUR SO PERFECT 🤩,plsss,joy,POS
I‘m confused...,confused,surprise,NEG
happy🙃,happy,joy,POS
Your very pretty,pretty,joy,POS
@beverlyswife she still scares me,beverlyswife,fear,NEG
Sorry for making u cry,sorry,sadness,NEG
What the -,What the -,surprise,NEG
THIS GIRL IS HELLA PRETTY PERIOD.😌,pretty,joy,POS
She an icon,icon,joy,POS
I forgot about you..,forgot,sadness,NEU
Yo no way u so pretty,pretty,surprise,POS
👁👄👁 wow never seen someone so pretty,pretty,joy,POS
androids have that emoji 0_0,emoji,surprise,NEU
oh my god we got the same phone :0,phone,surprise,POS
I can’t tell if she is actually human or not,human,surprise,NEG
What? How?,What? How?,surprise,NEU
Aww i see your spending time with your cousin,cousin,joy,POS
i swear this girl always has a different phone smh,phone,disgust,NEG
😳sheeeesh new hair do when is it today or right now😂,hair,surprise,NEU
omg shes so pretty 🥰 I could never be so pretty,pretty,surprise,POS
she is a robot how do u not see it,robot,disgust,NEG
My head hurts seeing this,head,sadness,NEG
She looks like Sid from toy story BYE-😭,sid,disgust,NEU
It looks like your not though,looks,disgust,NEU
omg shes so pretty 🥰 I could never be so pretty,pretty,surprise,POS
Someone please I’m not trynna be rude but am I trippin or is she some kinda cartoon. Cause she a lil too cute😅😅??,cartoon,surprise,NEU
your so beautiful 🥺🥺,beautiful,joy,POS
she is a robot how do u not see it,robot,disgust,NEG
she is super pretty,pretty,joy,POS
Whattt,whattt,surprise,NEU
You’re so pretty,pretty,joy,POS
wait why am i seeing this in 2021,2021,surprise,NEU
omggggg,omggggg,surprise,POS
scary,scary,fear,NEU
Bro she is holdin a android in it's a iPhone emoji right there 😳😳😳 That WEIRD,emoji,surprise,NEU
Nope,nope,disgust,NEU
you're beautiful. never let anyone dull your sparkle.,sparkle,joy,POS
your so pretty •́ ‿ •̀,pretty,joy,POS
ur one of my idols🥰,ur,joy,POS
ROMANS 1:16✝️FOR I IM NOT ASHAMED OF THE GOSPEL OF GOD FOR IT IS THE POWER OF GOD FOR SALVATION TO EVERYONE WHO BELIEVE 🙏🏾✨,gospel,joy,POS
this is to trippy,trippy,surprise,NEU
Omg girrrrllll Where is that top from?😍,omg,surprise,NEU
Omg girrrrllll Where is that top from?😍,omg,surprise,NEU
OMG I LOVE JANET,janet,joy,POS
JANET IS VALID,janet,joy,POS
I LOVE JANET SO MUCH THEY IS MY FAVORITE FROM THE GOOD PLACE,janet,joy,POS
I LOVE JANET!! BEST NON GIRL EVERRR,janet,joy,POS
i love Janet 🥰,janet,joy,POS
Why you gotta do Jenna marbles like that,jenna,surprise,NEG
What's thw first ones name? I will be ABSOLOUTLY AMAZED if the first one was a robot and not just a picture of a girl... I don't know what to think...,robot,surprise,NEU
JANET IS NOT A ROBOT. DONT DO HER LIKE THAT,janet,disgust,NEG
don’t do my girl Sophia like that,sophia,disgust,NEG
They forgot the rest of ur collar,collar,disgust,NEU
THE ROBOTS ARE FIGHTING!!!!!,robots,joy,POS
i love Janet 🥰,janet,joy,POS
JANET IS NOT A ROBOT. DONT DO HER LIKE THAT,janet,disgust,NEG
ik im a late BUT LEAVE JANET ALONE SHES NOT A ROBOT,janet,anger,NEG
She is so scary ngl..,scary,fear,NEG
OML I LOVE JANET,janet,joy,POS
Janet is not a robot!,janet,anger,NEU
I love darcy carden,darcy,joy,POS
They forgot the rest of ur collar,collar,disgust,NEU
Janet is the BEST she carried that show,janet,joy,POS
i love Janet 🥰,janet,joy,POS
THE ROBOTS ARE FIGHTING!!!!!,robots,joy,POS
JANET IS NOT A ROBOT. DONT DO HER LIKE THAT,janet,disgust,NEG
ik im a late BUT LEAVE JANET ALONE SHES NOT A ROBOT,janet,anger,NEG
She is so scary ngl..,scary,fear,NEG
OML I LOVE JANET,janet,joy,POS
We love Janet,janet,joy,POS
Are you real,real,surprise,NEU
@sasha_claire13 I love the comments,sasha_claire13,joy,POS
@robloxlegend101 im scared,robloxlegend101,fear,NEG
@oevans23 baffles my head,oevans23,disgust,NEG
I ADORE JANETTTT,janetttt,joy,POS
THE GOOD PLACE !!,place,joy,POS
I LOVE JANET SM OMG,janet,joy,POS
Omg I haven't watched you in year's You still look the same!,year,surprise,NEG
@seaflapflap O_O,seaflapflap,surprise,NEU
Janet I Stan her,janet,joy,POS
JANET IS NOT A ROBOT 😑,robot,anger,NEU
JANET IS THW BEST,janet,joy,POS
WALL-E:Thanks!,wall,joy,POS
Janet is iconic,janet,joy,POS
I thought this was a real person for a sec,real,surprise,NEU
I love Janet,janet,joy,POS
JANET IS NOT A ROBOT,janet,anger,NEU
Wall - e yay,wall,joy,POS
Janet is a literal icon,janet,joy,POS
NOT A ROBOT,robot,disgust,NEU
Janet is iconic,janet,joy,POS
I thought this was a real person for a sec,real,surprise,NEU
I love Janet,janet,joy,POS
JANET IS NOT A ROBOT,janet,anger,NEU
Wall - e yay,wall,joy,POS
OMG ✨JaNeT✨,omg,surprise,NEU
This is the best creation in 2022,2022,joy,POS
AHHH JANET YAYYYY,janet,joy,POS
Janet is tha best :D,janet,joy,POS
OMG JANET 🥺😁,janet,surprise,NEU
Wow you are so beutiful😳 i Know you are a 🤖 … just wow,wow,joy,POS
I watched all your videos 😂😂😂😂,watched,joy,NEU
How do you look sooooo animated,animated,surprise,NEU
Are we not gonna talk about how there's no back side to her shirt collar 😭,collar,surprise,NEU
@.sanrio.d0lls wow just because it’s bold :(,bold,disgust,NEG
I love the robot from jc under cover,robot,joy,POS
hahaha nice app to edit human,app,joy,POS
Janet in my <3,janet,joy,POS
are u real,real,surprise,NEU
JANET IS NOT A ROBOT,janet,anger,NEU
I HAVENT SEEN WALLY IN SUCH A LONG TIMEEEEEE,wally,joy,POS
Janet is my favorite,janet,joy,POS
THE GIRLS ARE FIGHTINGGGGGG,fightingggggg,joy,POS
You can literally see that the body is real and the face is just the animated part 😭,animated,surprise,NEU
Francky is my fav robot,francky,joy,POS
bro this guy or girl tryna scam everyone she aint even a robot,robot,disgust,NEG
I love Janet,janet,joy,POS
Is she actualy real?!?,real,surprise,NEU
ur my fav,fav,joy,POS
Wow you are so beutiful😳 i Know you are a 🤖 … just wow,wow,joy,POS
@.sanrio.d0lls wow just because it’s bold :(,bold,disgust,NEG
are u real,real,surprise,NEU
Is she actualy real?!?,real,surprise,NEU
you are my fav robot<3,robot,joy,POS
This is the best creation in 2022,2022,joy,POS
You can literally see that the body is real and the face is just the animated part 😭,animated,surprise,NEU
ur my fav,fav,joy,POS
