comment,keyword,emotion,sentiment
I LOVE THIS,love,joy,POS
Real life video game,game,others,NEU
Pretty asf got the whole world thinking I a android,android,others,NEU
You look like a pretty anime character,anime,others,POS
Girl from polar express grew up wit us 😭🙏,girl,others,NEU
does this bother nobody?? 🤨😑,bother,others,NEG
LMAO WHAT IS THISSS,thisss,surprise,NEU
16 guys load,load,others,NEU
Bro,bro,others,NEU
@skuu11y my sims if my pc was good,sims,others,NEU
You are unique. Beautiful 😍,unique,joy,POS
I love this😂,love,joy,POS
Ypu so prettty🥰🥰🥰,ypu,joy,POS
love the hair,hair,others,POS
you look the same,look,others,NEU
@henrywinters what,henrywinters,others,NEU
you look so good🥰 slay it queen,slay,joy,POS
pass on tips🔜,pass,others,NEU
I have so many questions,questions,others,NEG
looks like a endo skeleton from five nights at freddys,skeleton,others,NEU
Is she real😳,real,others,NEU
Big change respect,change,others,POS
@y00ngi.exe 😭 lowkey kinda scary ngl,lowkey,fear,NEG
16 missed calls,calls,others,NEU
The whole face is animated🤷‍♀️,face,others,NEU
16 prank calls,prank,others,NEG
@_lainey.lybarger_ uh,_lainey,others,NEU
Gorg doll🥰🥰,gorg,joy,NEU
I HAVENT SEEN U IN 2 YEARS,seen,others,NEU
Really?😂,really,others,NEU
alternate kara outfits from detroit become human.,kara,others,NEU
She a Barbie 😂,barbie,others,NEU
damn still cute,cute,others,POS
splice the movie,splice,others,NEU
Gorg doll🥰🥰,gorg,joy,NEU
I HAVENT SEEN U IN 2 YEARS,seen,others,NEU
Really?😂,really,others,NEU
She a Barbie 😂,barbie,others,NEU
alternate kara outfits from detroit become human.,kara,others,NEU
damn still cute,cute,others,POS
uncanny valley,uncanny,others,NEU
Still to this day I’m still confused about this,confused,others,NEG
16 prank calls,prank,others,NEG
Is this real?,real,others,NEU
splice the movie,splice,others,NEU
Are you real,real,surprise,NEU
@notlotussss this is what i’m talking abt.,notlotussss,others,NEU
Lifeline,lifeline,others,NEU
Lmao kids think this is real just look at half of the comments😂😂😂,real,others,NEU
can't even tell if the world you in is real,real,others,NEU
Hear me out,hear,others,NEU
hello nice woman ❣️,hello,joy,POS
robotic asl,asl,disgust,NEU
Dayummm,dayummm,surprise,NEU
New update,update,others,NEU
She's stunning g,stunning,joy,POS
Lyric here🥰,lyric,others,NEU
It’s now 17,17,others,NEU
Lovely girl ♥️,lovely,joy,POS
Sooooon they will see same thing,sooooon,others,NEU
Girl what-,girl,others,NEU
mommy sorry Mommy sorry,mommy,others,NEG
Your so cool,cool,joy,POS
this gta Bro,gta,others,NEU
What do you live??,live,others,NEU
what,what,others,NEU
tiktok allow robots now?,tiktok,others,NEU
Your pretty you kinda look like Barbie,barbie,others,POS
Bruh what is thisss,thisss,surprise,NEG
SLAYY,slayy,joy,POS
16 beautifuls😍😫,16,joy,POS
cute,cute,others,POS
is this a 3D animation ??,3d,others,NEU
robotic💀,robotic,others,NEU
Uh,uh,others,NEU
omg,omg,surprise,NEU
She’s becoming self aware,aware,others,NEU
@,@,others,NEU
Real life Lifeline from Apex Legends,lifeline,others,NEU
Am I the only one that thinks that's Kind of kreepy,kreepy,others,NEG
@thisisdogsht 16 missed calls,calls,others,NEG
way hot,hot,others,NEU
@masina.olovka ummm plasi me,olovka,others,NEU
Filter change 😂,filter,others,NEU
gta v? 😂,gta,others,NEU
Wai-Wha-,wai,others,NEU
What the hell is that,hell,surprise,NEG
Last vid 🥵🥵,vid,others,NEU
YAA POP OFF QUEEN😂😂😂,yaa,joy,NEU
WHAT THE,WHAT THE,surprise,NEG
hi,hi,others,NEU
but are you real,real,others,NEU
@,@,others,NEU
𝐚𝐫𝐞 𝐲𝐨𝐮 𝐚𝐭 𝐀𝐦𝐞𝐫𝐢𝐜𝐚,𝐲𝐨𝐮,others,NEU
𝐢𝐟 𝐲𝐨𝐮 𝐝𝐨𝐧'𝐭 𝐦𝐢𝐧𝐝 𝐭𝐨 𝐭𝐞𝐥𝐥😌,𝐲𝐨𝐮,others,NEU
How did u pass the past the test when u made ur acc to make sure ur not a robot,robot,others,NEU
You like Malinie Martinez,malinie,others,NEU
i think 👁️👄👁️🙏,think,others,NEU
16 fillters😁,16,others,NEU
😳😳,😳😳,others,NEU
@y00ngi.exe 😭 lowkey kinda scary ngl,lowkey,fear,NEG
looks like a endo skeleton from five nights at freddys,skeleton,others,NEU
She looks more real than mark zuckerberg,zuckerberg,others,POS
wait what,wait,surprise,NEU
@129492_ ?,129492_,others,NEU
what does that even mean?,mean,others,NEG
Bruh you got,bruh,others,NEU
Where do u get ur voice??,voice,others,NEU
Are you a real person??,real,others,NEU
she seems so animated,animated,others,POS
Npc,npc,others,NEU
@intzwetrust @datkidbkay2x @.iluvvkashai @jojobibbz is that a human 😳😳😳😳?,human,others,NEU
DIDN'T DETROIT BECOME HUMAN TEACH US ANYTHING!?!?🤨,detroit,anger,NEG
bro become human uptade missed💀💀💀💀,uptade,others,NEU
LMAO WHAT,lmao,surprise,NEU
@_lainey.lybarger_ uh,_lainey,others,NEU
Bro,bro,others,NEU
@annamaria1343 @bootswthefurr @_.madelineee uh,annamaria1343,others,NEU
How many time that they upgrade ur software?,upgrade,others,NEU
I saw so you on YouTube a long while back but your actual a thing,youtube,others,NEU
so cool,cool,joy,POS
@fionaisobel_ i’m scared,fionaisobel_,fear,NEG
y u look like a gaming character😳,gaming,others,NEU
The whole face is animated🤷‍♀️,face,others,NEU
what does that even mean?,mean,others,NEG
Are you a real person??,real,others,NEU
Where do u get ur voice??,voice,others,NEU
she seems so animated,animated,others,POS
Npc,npc,others,NEU
DIDN'T DETROIT BECOME HUMAN TEACH US ANYTHING!?!?🤨,detroit,anger,NEG
bro become human uptade missed💀💀💀💀,uptade,others,NEU
LMAO WHAT,lmao,surprise,NEU
How many time that they upgrade ur software?,upgrade,others,NEU
@annamaria1343 @bootswthefurr @_.madelineee uh,annamaria1343,others,NEU
I saw so you on YouTube a long while back but your actual a thing,youtube,others,NEU
so cool,cool,joy,POS
y u look like a gaming character😳,gaming,others,NEU
Don’t get why people don’t figure it out it’s a regular girl but they put miquelas face in photos and sometimes in videos💀,miquelas,others,NEG
r u actual real,real,surprise,NEU
i really thought this was real,real,surprise,NEU
Looking like Melanie Martinez,melanie,others,NEU
u couldn't be real😳,couldn,disgust,NEG
now 17 missed calls,calls,others,NEG
still waiting for part 2,waiting,others,NEU
The girl fork polar express😂😂😂,polar,others,NEU
You look the same,look,others,NEU
@,@,others,NEU
16 prank updates,prank,others,NEU
😂😂😂,😂😂😂,others,NEU
Hi,hi,others,NEU
I haven’t heard about u since Shane Dawson talked about u in 2018,shane,others,NEU
am confused,confused,others,NEG
Is that your real face,face,others,NEU
are u real😅😳,real,surprise,NEU
can u dance too?,dance,others,NEU
que😟,que,others,NEU
Hola,hola,others,NEU
cambio de programa,programa,others,NEU
@maerusama JPP ELLE DATE,date,others,NEU
hä das ist doch eine Computerfigur,computerfigur,others,NEU
فكرتها لعبه 🙂,فكرتها,others,NEU
Ses gta +sims sa nan?,sims,others,NEU
EU TO PASSANDO MALKAKAKAKKAKAKKA,malkakakakkakakka,others,NEU
modou nada,nada,others,NEU
Elle est réel 🧐🧐🧐,réel,others,NEU
@klaudia_b99 czekaj co,czekaj,others,NEU
AŞK kadin yaa,kadin,others,NEU
to komputerowo czy gra ?,komputerowo,others,NEU
@uposledzonyposladekmil ten robot jest ładniejszy ode mn,ładniejszy,others,NEU
Ma e finto vero?,vero,others,NEU
@rkz_22 non capisco,capisco,others,NEU
@keira_mld SCHREIEEEE,keira_mld,others,NEU
Trop belle cette bot ☀️👽☀️💜,bot,others,NEU
@_.frankekko_ ci ho messo un po’ per capire,messo,others,NEU
@msssdelyn mais 😭,msssdelyn,others,NEU
@awaa_yka heu ??,awaa_yka,others,NEU
16 llamadas de Movistar 🤫,movistar,others,NEU
Kskskskkskskskkss que tá acontecendo mds,mds,others,NEU
aspe cosa?,cosa,others,NEU
Hinterher genau so wie vorher so funktioniert der Trend nicht 😂,funktioniert,joy,NEU
NN CAMBIA NIENTE,niente,others,NEU
buen trabajo 🥰,trabajo,others,NEU
buen trabajo 🥰,trabajo,others,NEU
parece os efeitos do tik tok,efeitos,others,NEU
diosa,diosa,others,NEU
como ser como Miquela Yahoo respuestas,como,others,NEU
vero o finto quel mezzo-corsetto nero alla fine è stupendo ✨✨ Cercasi nomee,corsetto,others,NEU
Oho,oho,others,NEU
Είναι αληθινή 😳,αληθινή,others,NEU
me acuerdo cuando era famosa,famosa,others,NEU
Se mamaron,mamaron,others,NEU
Pov : les perso PUBG ou RUST 🤣,rust,others,NEU
C une vrai personne 😳😳,personne,others,NEU
Sogar die verwirrung ist verwirrt😂,verwirrung,others,NEU
cambio de pc xd,cambio,others,NEU
это кукла,кукла,others,NEU
😂 Die Cyberfunk spieler unter uns😏😂,cyberfunk,others,NEU
Va,va,others,NEU
ش,ش,others,NEU
beste graphic seit assasins creed,creed,others,POS
non ho capito se è un ologramma o è reale,ologramma,others,NEU
كأنها انيميشن @a.usu @i.0k @i9gx @1v.js @zz__i0,كأنها,others,NEU
C est moi,moi,others,NEU
sorry but r u a real robot ? 🥺,robot,others,NEG
Gta,gta,others,NEU
пон,пон,others,NEU
@x._.alpha_cloudy انيمشن ؟,انيمشن,others,NEU
Se parece a mi xd,parece,others,NEU
gta 6?,gta,others,NEU
@cate🍄 oi,oi,others,NEU
симс 3,симс,others,NEU
16?,16,others,NEU
siento que Dana Paola,siento,others,NEU
hi miquela 🥰,miquela,others,NEU
Lucifera ma belle fille 🐉✅,lucifera,others,NEU
el cuello,cuello,others,NEU
@sheesh.frxg was das hä ich Check garnichts,das,others,NEU
.,.,others,NEU
😔 okaay,okaay,others,NEU
meh,meh,others,NEU
Hä.,hä,others,NEU
Hä,hä,others,NEU
In Österreich sagen wir zu so was Burgenland,österreich,others,NEU
co,co,others,NEU
C,C,others,NEU
tobejarabi,tobejarabi,others,NEU
popG,popg,others,NEU
@sherripova_ смотрите какое мультяшное лицо,лицо,others,NEU
What-,What-,others,NEU
Nice,nice,others,POS
16 software upgrades.,upgrades,others,NEU
Humanfishing,humanfishing,others,NEU
are you the girl from polar express,polar,others,NEU
@boyzwiilbebugz,boyzwiilbebugz,others,NEU
@maelys.nka @emmagtr24 @melline.cvt,emmagtr24,others,NEU
@Rebeccacastberg,rebeccacastberg,others,NEU
@chloe_cainn @giuliana,chloe_cainn,others,NEU
@hehatesalina,hehatesalina,others,NEG
@ARE_V,are_v,others,NEU
@ur._.gurl._.ava,ava,others,NEU
@matibati45,matibati45,others,NEU
@honeyy_charr_dunkin,honeyy_charr_dunkin,others,NEU
POSTAĆ FIKCYJNA,fikcyjna,others,NEU
popG,popg,others,NEU
16 πλαστικές,πλαστικές,others,NEU
@sherripova_ смотрите какое мультяшное лицо,лицо,others,NEU
She’s scary,scary,fear,NEG
916 miss calls 💀🔥🔥,916,others,NEG
What-,What-,others,NEU
16 bot calls,bot,others,NEU
Nice,nice,others,POS
I'm beginning to thing shes real,real,others,POS
i was honestly expecting a picture of a old computer,computer,surprise,NEU
It looks so real,real,others,POS
pensé que iban a mostrar un código de programación o algo jajaja,programación,others,NEU
solo editan la cara,cara,others,NEU
I was really hoping for a photo of a computer because I thought that would be so funny,computer,others,POS
So we’re just not gonna talk about the Epstein pic 🤨,epstein,disgust,NEG
The third one looked so real 😭😭,real,others,POS
I am way too high for this,high,others,NEG
y’all the pictures are real she just puts her avatar over the skin,real,others,NEU
to this day shane dawson losses sleep over this,shane,others,NEG
this is the worst attempt of being emo ever,emo,others,NEG
The photos are getting a little too real,real,others,NEG
whyd I think that was Trisha paytas,trisha,others,NEU
I genuinely thought the first one was real😭,genuinely,others,NEU
maybe don't call a whole ass style "dirtbag",dirtbag,disgust,NEG
no.,no.,others,NEU
Remember your fake made up Me Too story? So insulting to SA survivors. Get off this app. You aren’t real.,survivors,anger,NEG
Youre not real,real,others,NEG
No bc you look so cool in them,look,others,POS
love ya,love,joy,POS
Lo tuve que ver tres veces para darme cuanta que no era real 😭,que,others,NEU
ES DE VERDAD O NO,verdad,others,NEG
It should actually just be a photos of an office full of marketing guys,marketing,others,NEU
@bmohead is that you,bmohead,others,NEU
girl ur not even real,real,disgust,NEG
I still don't know if ur real or not,real,others,NEU
You look like Trisha Paytas (derogatory),trisha,others,NEU
@ry Madeline in her Instagram stories,madeline,others,NEU
You should’ve just posted lines of code,code,others,NEU
are you real,real,surprise,NEU
then something just snapped,snapped,others,NEU
i thought that was a real person-,person,others,NEU
I think the person is real but it’s edited HELLA. Look at the left arm in the 2nd pic it’s bigger than the other nd more realistic,real,others,NEU
does the pretty queen say ❤️💕,queen,others,NEU
Thought it was gonna be a pic of a toaster tbh,toaster,surprise,NEU
No bc you look so cool in them,look,others,POS
For a second I thought it was an actual person💀,actual,surprise,NEU
Industrial Revolution and its consequences,industrial,others,NEU
WHY DOES IT LOOK REAL!!?,real,others,NEU
do you have baby Photos?🗿,photos,others,NEU
huh.,huh,others,NEU
I had to wtxh this 3 times to realize it wasn't real,real,others,NEG
i know its november but hear me out,november,others,NEU
I was expecting a USB,usb,surprise,NEU
i thought it was a real person bye,real,others,NEU
bro is ai generated,ai,others,NEU
This is ridiculous,ridiculous,others,NEG
I DIDNT NOTICE HNTIL THE SECOND TIME,hntil,others,NEU
no,no,others,NEU
sister switched teams 💀,sister,others,NEU
Not really but ok,ok,others,NEU
Wait she’s not real ???,real,others,NEU
This is still going on?,going,others,NEG
No,No,others,NEU
I had to watch these twice to realise this isn't real,real,surprise,NEG
I thought she was a real person,real,others,NEU
OMG YOU ARENT REAL??,real,surprise,NEG
Is she real?,real,others,NEU
Nah I found the real ones 💾,real,others,NEU
2007 vibe,vibe,others,NEU
so realistic,realistic,others,POS
@fl4ndr3 BYE IM SO CONFYSED,fl4ndr3,others,NEU
melanin hit you different🤝✨,melanin,others,NEU
She kinda looks like Quinni from heartbrake high,quinni,others,NEU
lookin like trish,trish,others,NEU
THATS SIMS?!?!?,sims,others,NEU
unreal engine is really unreal 😂,unreal,others,POS
You are PC code,code,others,NEU
I have one question-,question,others,NEU
Uncanny valley to the max,uncanny,others,NEU
naw babes u were in a motherboard,motherboard,others,NEU
glow up,glow,joy,POS
TOOK ME 30 SECS TO REALIZES,realizes,surprise,NEU
The first one looked a little too real,real,others,NEU
we’re the same,we’re the same,others,NEU
@ok...ok..okkkkk looks real,real,others,POS
my favourite NPC,npc,others,POS
I THOUGHT THAT SHE WAS REAL FOR A SEC,real,surprise,NEU
NO WAY,way,others,NEG
She was created by Trevor McFedries and Sara DeCou got an Instagram thing,sara,others,NEU
the robot is still alive it’s been 5 years,robot,others,NEU
The valley is so uncanny,valley,others,NEU
I THOUGHT IT WAS REAL TILL I WATCHED IT AGAIN,real,others,NEU
I ligit had to watch this twice cause I thought u were a real human-,human,others,NEU
So we all just talking to her like she's real? OK 😂,real,disgust,NEU
La noodle,noodle,others,NEU
You look like character from Arthur and the Invisibles,arthur,others,NEU
your teen years white??,teen,others,NEU
WAIT SHE KINDA LOOKS LIKE NOODLE,noodle,surprise,NEU
What is this,What is this,surprise,NEG
Did you switch races-,races,others,NEU
She looks like that girl from subway surfers with alien suit,alien,others,NEU
Maybe she is real.. /j,real,others,POS
LOL I remember being that age!!! Oh the good old days! 🤣🥰,age,others,POS
She’s shift realities…,shift,others,NEU
I think she's real but she edits her videos to make it look like she's fake,fake,disgust,NEU
it looks so real its just the face that doesn’t,face,surprise,NEU
🦶🏻,🦶🏻,others,NEU
kinda looks like noodle,noodle,others,NEU
Industrial Revolution and its consequences,industrial,others,NEU
pensé que iban a mostrar un código de programación o algo jajaja,programación,others,NEU
Ur not real u do not win,real,others,NEG
Bro is an AI💀,bro,others,NEU
Mom,mom,others,NEU
thats a robot... shane dawson was goofing with us,robot,others,NEU
No no,No no,others,NEG
this is the worst attempt of being emo ever,emo,others,NEG
OMG,omg,surprise,POS
This is the technology from the alien guy isn’t it,technology,others,NEU
I don’t like this,like,others,NEG
Why do you remind me of Noodle from Gorillaz-,noodle,others,NEU
U are aAnimation bro,aanimation,others,NEU
YESSSSS EMO QUEEENNNAH.,emo,others,POS
the industrial revolution and its consequences,industrial,others,NEU
uncanny valley,uncanny,others,NEU
YES,yes,others,POS
SLAYYYY,slayyyy,joy,POS
girl you know damn well 🤣🤣,girl,anger,NEG
I thought it's gonna be the blender app lmao,app,others,NEU
woah woah why did i think this was a real person.,real,surprise,NEU
..THEY ARENT REAL?,real,others,NEG
Thought it was gonna be polygons,polygons,others,NEU
who are you,who are you,others,NEU
it looks so.. real,real,others,POS
No cuz philza minecraft wins 🫡,minecraft,others,NEU
I genuinely wholeheartedly thought it was going to be one of those old screen savers or those colorful iMacs? something like that would b so funny 💀,imacs,others,POS
@community its this gta 6 ?,gta,others,NEU
why did i think this was real,real,others,NEG
I thought it was real,real,others,NEU
OBSESSED,obsessed,others,POS
i love this,love,joy,POS
I haven’t seen you in forever 😂🥰,forever,others,NEG
acting like these r old pics w the kuromi & my melody stuff that's being sold at hottopic right now lmao,kuromi,others,NEU
Its like taken 10 mins before this video,video,others,NEU
nope the blender default box is the real photo,box,others,NEU
i forgot about you,forgot,others,NEU
I think I’m high,high,others,NEU
UHH WHAT I JUST REALIZED ITS AI,ai,surprise,NEU
I thought she was real at the first part.,real,others,NEU
when people say ia might go too far this is what they mean,far,others,NEU
Scene Miquela its all i ever want to be,miquela,others,POS
Wait what,wait,surprise,NEU
I’m actually terrified of how real she looks 🧍‍♀️,terrified,fear,NEG
oh,oh,others,NEU
WHY DID IT LOOK SO REALISTIC,realistic,others,NEU
I was expecting some binary code 😂,binary,surprise,NEU
my perception of reality is broken...,reality,others,NEG
The third pic you look like Trisha!,trisha,others,NEU
Bro this is to real,real,surprise,POS
You guys have this but look at the new gorillaz 😭,gorillaz,others,POS
NOT ME THINKING THE LAST PICTURE WAS TRISHA PAYTAS,trisha,others,NEU
Be fr,fr,others,NEU
What about this looks real to you. This isn’t rendered correctly around the eyes and mouth but it’s still cool,real,others,POS
Detroit become human,detroit,others,NEU
YOU ARE NOT REAL,real,others,NEG
I thought that was real for a second,real,surprise,NEU
I thought she was real until I saw the comments.,real,others,NEU
nope she's realperiod,realperiod,others,NEU
how are u not real omg,real,surprise,NEG
Idk why im so scared of this robot thing is she really there in real life or did they just edit her on,robot,others,NEG
"it's funny how we've reached a point where we can ask if someone is a real person and the question being valid" - dude who's name i forgot,real,others,NEU
SHE WAS EMO,emo,others,NEU
This is a product placement ad.,ad,others,NEU
HELP WHAT,help,fear,NEU
I though she was gonna post a microwave,microwave,others,NEU
This looks too real…,real,others,POS
is she 30,30,others,NEU
okay ngl pretty cool,ngl,others,POS
what the hell i cant,hell,others,NEG
ur not real,real,others,NEG
I THOUGHT THIS WAS REAL OMG,real,surprise,NEU
YES KUROMI AND MY MELODY🖤💕,kuromi,others,POS
how are u not real omg,real,surprise,NEG
Eso no es real yo te conocí y te veías exactamente igual,exactamente,others,NEU
Idk why im so scared of this robot thing is she really there in real life or did they just edit her on,robot,others,NEG
uy si,si,others,NEU
"it's funny how we've reached a point where we can ask if someone is a real person and the question being valid" - dude who's name i forgot,real,others,NEU
SHE WAS EMO,emo,others,NEU
This is a product placement ad.,ad,others,NEU
HELP WHAT,help,fear,NEU
I though she was gonna post a microwave,microwave,others,NEU
This looks too real…,real,others,POS
is she 30,30,others,NEU
okay ngl pretty cool,ngl,others,POS
what the hell i cant,hell,others,NEG
ur not real,real,others,NEG
I THOUGHT THIS WAS REAL OMG,real,surprise,NEU
YES KUROMI AND MY MELODY🖤💕,kuromi,others,POS
I was thinking "that.. that doesn't look.. real.." then I saw the comments,real,others,NEG
Noodle ? 0o0,noodle,others,NEU
Ngl I thought the first pic was real,real,surprise,NEU
wow you look sooooo amazing in this,amazing,joy,POS
im in love with you,love,joy,POS
slay girl,slay,joy,POS
K THOUGHT U WERE RRAL,rral,others,NEU
Este canal me recuerda a Black Mirror,recuerda,others,NEU
@impending_dread omg husker du,husker,surprise,NEU
LA PRIMERA SE VEIA REAL,primera,others,NEU
Il scared,scared,fear,NEG
ME ACQBO DE DAR CUENTA DE QUE ES UN MUÑECO 😭🤙,que,others,NEU
Girl from that Christmas movies,christmas,others,NEU
Npc real,npc,others,NEU
Im in love with an (Roboter) emo girl ALL I WANT IS AN (Roboter) EMO GIRL,emo,others,POS
@Ice spice 🧊🌶 she looks like she’s straight outa Valorant,valorant,others,NEU
I THOUGHT IT WAS A REAL PERSON,person,others,NEU
wait it's not real?!!!,real,surprise,NEG
She is modelled on a person and then animated over the top,animated,others,NEU
cómo tema🥺,cómo,others,NEU
SHES BACK,shes,joy,POS
do you have baby Photos?🗿,photos,others,NEU
Noodle from gorillaz?,noodle,others,NEU
teenage pics: prototype right?,prototype,others,NEU
@lucie trisha?,trisha,others,NEU
Okay this look way too much realistic-,realistic,others,NEG
WAIT THIS ISNT REAL?,real,surprise,NEU
que no soy emo,emo,others,NEU
ES NOODLE DE GORILLAZ,noodle,others,NEU
does anyone else think noodle from gorillaz 😳,noodle,others,NEU
reminds me of Noodle ngl,noodle,others,NEU
I thought this was real 😭,real,others,NEU
me costó ver que 3staba hecho por ordenador,por,others,NEU
So are you real now or,real,others,NEU
oh my god,god,surprise,NEU
Estoy algo confundida ahora mismo…,confundida,others,NEU
WE NEED BABY PICTURES!!! >:D,pictures,others,POS
VERY ICONIC,iconic,joy,POS
I THFOUT THAT WAS A REAL PERSON?!,real,others,NEU
You had my fooled for a second thinking it was real,fooled,others,NEG
I thought it was a real person 😳,person,others,NEU
play mobilelife,mobilelife,others,NEU
i forgot about this,forgot,others,NEU
it looks so real what,real,surprise,POS
yess,yess,others,POS
i didn’t even realise it was AI until i looked at the comments,ai,surprise,NEU
It’s scary,scary,fear,NEG
Don’t disrespect this trend,trend,others,NEG
oh,oh,others,NEU
SLAYED,slayed,joy,POS
This is uncanny,uncanny,others,NEU
it looks so real but it doesnt at the same time..,real,sadness,NEU
i was expecting a yahoo messenger avatar 😭,expecting,surprise,NEU
my brain is glitching...,glitching,others,NEG
The realism is incredible 🤯,realism,surprise,POS
I genuinely thought this was real,real,surprise,NEU
Sims 5? 😳,sims,others,NEU
noodle from Gorillaz,gorillaz,others,NEU
I'm confused,confused,others,NEG
You’re not real 🫡,real,others,NEG
i thought she was real until i read the comments and looked again😭😭,real,others,NEU
why does it looks so real@pink_hearts~,pink_hearts,surprise,NEU
OMG I LOVE THSI,thsi,joy,POS
It’s edited I think😥-,edited,others,NEU
I have respect for you now,respect,others,POS
@cedes🖤 this is scary and crazy,scary,fear,NEG
i forgot you existed. my bad,forgot,others,NEG
Love y even tho the person who respond is not you is your manager,manager,others,POS
HOW IS SHE SO REALISTIC—,realistic,surprise,POS
y'all she isn't real just has a godly editor,real,others,NEU
your not real....,real,others,NEG
SHE ISNT REAL?!,real,disgust,NEG
looks real oml,oml,others,POS
Everyone who uses this audio is verified like how,verified,surprise,NEU
pensé que iban a mostrar un código de programación o algo jajaja,programación,others,NEU
solo editan la cara,cara,others,NEU
pera tá realista demais,pera,others,NEU
Je me disais bien que c’était pas réel,pas,others,NEU
is mir jetz zuuu real,jetz,others,NEU
Ja nieiwem teraz czy to ejst realistyczne czy animacja,realistyczne,others,NEU
Wsh elle était bien la qualité de l’époque c fou,époque,others,NEU
so me liguei agr q parece real pq uma pessoal REAL tira as fotos e só editam a cara da model na foto,liguei,others,NEU
sieht so real aus,sieht,others,NEU
la prima foto è assurda,foto,others,NEU
woww lvdm j'suis perdu les reufs j'ai regarder tt c'est Tik tok je comprends r,reufs,others,NEU
Musste 2mal gucken,gucken,others,NEU
to wygląda jakby wszystko było okej ale twarz miała wklejona,miała,others,NEU
Lo tuve que ver tres veces para darme cuanta que no era real 😭,que,others,NEU
no.,no.,others,NEU
@quowinka_ MYSLALEM ZE TO SIMSY XDDD,quowinka_,others,NEU
hubiese estado más piola que mostrarán su diseño base o algo así,estado,others,NEU
mana tu ainda ta falando mana,mana,others,NEU
Du erinnerst mich an die eine von baymax also diesem Disney film,disney,others,NEU
Ich bin maximal verwirrt,maximal,others,NEU
@sowik5 w ogóle nie związane z filmem ale jakbym ja sobie teraz wjebał takiego naleśniczka pysznego z dżemem albo nutella,wjebał,others,NEU
@cloud c’est perturbant,perturbant,others,NEU
Mdr Je me rappelle de ce bot elle avait like mon com sur insta en 2019,sur,others,NEU
Te juraba que era una persona real,juraba,others,NEU
No me había dado cuenta que era una animación,animación,others,NEU
ZIA SPACCHI TI STAVANO BENISSIMO,spacchi,others,NEU
Ich kann nicht zwischen Realität und Virtualität unterscheiden 😳,virtualität,others,NEU
@madi MIQUALA,madi,others,NEU
@anazzita mn ta realista d mais,anazzita,others,NEU
@sendhubbyidkwhy vrm si toi et lui avait un gosse se serait elle vrm,vrm,others,NEU
y yo esperando a que fuese joke y pusiese algún Nokia 3310 o algo así 🙃🙃🙃,nokia,others,NEU
@☠️🖤 黒火 🖤☠️ @Falley @Tac regardez un peu qui est la,regardez,others,NEU
Je l’avais oubliée elle,oubliée,others,NEU
è più reale di me,reale,others,NEU
@_kurookami_arts_ ...,_kurookami_arts_,others,NEU
Isso é mascote de loja??? Que coisa linda,mascote,others,NEU
@julkaa.33 nie ogarnęłam na początku ☠☠,początku,others,NEU
Male Siri ain’t gotta do u like that,siri,others,NEG
mans wanted that robot 🐱,robot,others,NEU
How a robot get more action than me,robot,others,NEU
