comment,keyword,emotion,sentiment
you are so pretty,pretty,joy,POS
am a bit scared,bit scared,fear,NEG
It’s like some cool filter or something or like animation,filter like animation,others,NEU
it's just a a cartoon face don't get confused its a filter😅😅,cartoon face,others,NEU
Who else???,Who else???,others,NEU
Uncanny Valley 👀,uncanny valley,others,NEU
Can I see you in reality?,reality,others,NEU
22?,22,others,NEU
are you real?,real,others,NEU
OMG,omg,surprise,POS
No Real,real,others,NEU
can you speak GERMAN?,speak german,others,NEU
Efect from Snapchat i think,efect snapchat,others,NEU
u are in my book of English haha,book english haha,others,POS
But can u have a house tour??,house tour,others,NEU
I love youu🥰🥰❤️❤️you're so cute,love youu cute,joy,POS
never,never,others,NEU
guys i think Is Just AN edit or a filter,think just edit,others,NEU
who did u,did,others,NEU
Could you make a video with your voice, please 🙃,make video voice,others,NEU
live for we believe it,live believe,others,POS
Who created you?,created,others,NEU
Proof?,proof,others,NEU
Where she’s from ?,Where she’s from ?,others,NEU
are you 3D animation,3d animation,others,NEU
I think its animated,animated,others,NEU
are you live real live😬?,live real,others,NEU
are u guys truing to realpace ous ...Bcs I dont whana be a robot i whana be Who I am ..I am scared...🥺,dont whana robot,fear,NEG
wait but are u a real someone??,real,others,NEU
do you at least reply,reply,others,NEU
We’re you born? Srry,born srry,others,NEG
Does she even exist in real life?,exist real life,others,NEG
cute ☺️,cute,joy,POS
I saw her today 😮 Wait, it? Yeah I saw it today 😭😭🙌,yeah saw today,surprise,NEU
please 99 for me 🥰🥰🥰🥰,99,others,NEU
Are you from uncanny valley,uncanny valley,others,NEU
please talk about the time you were on Shane Dawson's Channel,shane dawson channel,others,NEU
@captcha 😈😈,captcha,others,NEU
Are you in a game? If so what kind,game kind,others,NEU
I don’t know if this is real or not,don know real,surprise,NEG
2022 chain,2022 chain,others,NEU
how can robot swim 😳,robot swim,others,NEU
if you are rl then go on park where is some peoples,rl park peoples,others,NEU
are you live real live😬?,live real,others,NEU
wait but are u a real someone??,real,others,NEU
do you at least reply,reply,others,NEU
We’re you born? Srry,born srry,others,NEG
Does she even exist in real life?,exist real life,others,NEG
cute ☺️,cute,joy,POS
I saw her today 😮 Wait, it? Yeah I saw it today 😭😭🙌,yeah saw today,surprise,NEU
please 99 for me 🥰🥰🥰🥰,99,others,NEU
Are you from uncanny valley,uncanny valley,others,NEU
please talk about the time you were on Shane Dawson's Channel,shane dawson channel,others,NEU
@captcha 😈😈,captcha,others,NEU
Are you in a game? If so what kind,game kind,others,NEU
I don’t know if this is real or not,don know real,surprise,NEG
2022 chain,2022 chain,others,NEU
how can robot swim 😳,robot swim,others,NEU
if you are rl then go on park where is some peoples,rl park peoples,others,NEU
Wait this a computerized tik tok???,computerized tik tok,others,NEU
uncanny valley ahh,uncanny valley ahh,others,NEU
This is either really well or we have hit the singularity and there learning in a slow way because she knows we’ll destroy her if she rebels,really hit singularity,others,NEG
R u real😅,real,others,NEU
you look so real🥰🥰🥰,look real,others,POS
do you know made you?,know,others,NEU
girlll you are so beautifulll 🥰🥰🥰,girlll beautifulll,joy,POS
Ur So Pretty For A Robot! <33,ur pretty robot,joy,POS
is this a animation,animation,others,NEU
im extremely confused,im extremely confused,others,NEG
hello uhm I saw you here in TikTok and yeah your beautiful.🥰,tiktok yeah beautiful,others,POS
Wait so when the computer ask you if you are a robot what do you click,ask robot click,others,NEU
robots can't swim cuz if they do they will die cuz the water will git in there circuit and it will cause water damage,robots swim cuz,others,NEG
How can’t you pass captcha? It’s just spelling easy words,captcha just spelling,others,NEG
do people get scared you go out,people scared,fear,NEU
Wait is that a filter,filter,others,NEU
can you get covid or no,covid,others,NEU
please take a video with a human please🥺🥺🙏😭😭😭🥺🥺,video human,others,NEU
I’m here cause Cher,cher,others,POS
PHIN?!?!,phin,anger,NEU
@bgcolol 😳,bgcolol,others,NEU
You can’t pass captcha?😭😭😭😭😭😭😭😭,pass captcha,others,NEG
Don’t be shy show your face 😌,don shy face,others,NEU
I’m sorry but you look like a sims character but all love your so pretty 🥰,look like sims,others,POS
@sheluvxanns she real ?,sheluvxanns real,others,NEU
do u go to school,school,others,NEU
“Are you in the polar express?” 😂,polar express,others,NEU
She is literally the guy from the polar express but a girl,polar express girl,others,NEU
id there sm1 who looks like u,id sm1 looks,others,NEU
robot maen tiktok?!,robot maen tiktok,others,NEU
gw ga percaya dia robot, karena emg keliatan bgt wajah dia tu editan bro, beda banget sama tekstur tubuhnya,dia robot karena,others,NEU
kepo gua Ama kehidupan dia tuh Ampe jdi artis coy,ama kehidupan dia,others,NEU
dia bisa mules ga sih? bisa pipis gitu? berak gitu? :v kepo masa :v,bisa pipis gitu,others,NEU
percayalah aku ada di mana mana,percayalah aku ada,others,NEU
Serius robot? di ig nya kaya bkn robot,kaya bkn robot,others,NEU
sebenernya dua emang robot atau gk dah kok kek robot klo dilihat-lihat?,emang robot atau,others,NEU
TIKTOK MASIH NGE LAG?,tiktok masih nge,others,NEU
ADA YANG PERNAH LIAT DIA LIVE IG?,yang pernah liat,others,NEU
mau nyanyi aja harus edit kepala mwehehhe,edit kepala mwehehhe,others,NEU
klo dia robot mungkin mukanya atau filter ny bnyk yg pake klo ini kan ngga,klo dia robot,others,NEU
terus siapa yg nyiptain lu??,terus siapa yg,others,NEU
tpi kata gua si itu editan komputer,itu editan komputer,others,NEU
J'ai peur...,ai peur,others,NEU
@dajmizelkauwu pliz boje sie tego trochu-,dajmizelkauwu pliz boje,others,NEU
MAKASI AKHIRNYA GW GA BINGGUNG LAGI 😖,ga binggung lagi,others,NEU
@galaktus55 trochę creppy,trochę creppy,others,NEU
Are you a simulation or real robot?,real robot,others,NEU
@bilsns,bilsns,others,NEU
@kocham_robic_paznokcie 😳,kocham_robic_paznokcie,others,NEU
@_hyung.x0 @jkmomogff مختلفه على الانستااااااعاعاو,مختلفه على الانستااااااعاعاو,others,NEU
es un avatar no robot ( no hate) jaja,es avatar robot,others,NEU
robot kliatan tapi ..di videonya kliatan editan ..apa emng aslinya gitu,videonya kliatan editan,others,NEU
oke. nerroris hadirrrrr 👋🤝,oke nerroris hadirrrrr,others,NEU
Il mondo è finito 🥺,il mondo finito,others,NEU
Je sais pas si tu te rappelle😅😅😅😅😅,pas si tu,others,NEU
ngak tau lah saya,ngak tau lah,others,NEU
Ne ona není robot ona je nakreslená,robot ona je,others,NEU
3D,3d,others,NEU
Boje się @marta._.reads,się marta reads,others,NEU
alguem traduz pra mim kkkkkkkkkk,pra mim kkkkkkkkkk,others,NEU
Uwaga wychodzi na to że przeżyjemy nie umieją przejść CAPTCHA,umieją przejść captcha,others,NEU
Omg wie cool,omg wie cool,others,POS
kek berbi,kek berbi,others,NEU
ja co som clovek a neviem plavat a ona co je robot a vie plavat 👀💀 @luv.nix.68,ona je robot,others,NEU
3D,3d,others,NEU
jup,jup,others,NEU
@iba kyk dit account,iba kyk dit,others,NEU
🥰,🥰,others,NEU
C'est un montage la meuf,montage la meuf,others,NEU
🥰🥰🥰,🥰🥰🥰,others,NEU
Miquela es un robot(avatar virtual) no hay que tenerle miedo :v,miquela es robot,others,NEU
وتتت,وتتت,others,NEU
@14031999lavie::انسخها وأنشرها ولنا ولك الأجر بإذن الله❤,14031999lavie انسخها وأنشرها,others,NEU
الحمدلله🤍.🌱,الحمدلله,others,NEU
استغفرالله🤍.🌱,استغفرالله,others,NEU
سبحان الله🤍.🌱,سبحان,others,NEU
لا اله الا الله🤍.🌱,لا اله الا,others,NEU
الله اكبر🤍.,الله,others,NEU
🤣,🤣,others,NEU
@gl0oria gli altri video..,gli altri video,others,NEU
ah-,ah,others,NEU
animasi ga siii,animasi ga siii,others,NEU
Can we here ur voice,voice,others,NEU
i want to make a video exposing how uou do this,want make video,others,NEU
its so simple,simple,others,NEU
i should do it too,i should do it too,others,NEU
and make an account and youll think im a robot friend,im robot friend,others,NEU
@A Y L I N A • Married to Jared @sergeantbxrnes,married jared sergeantbxrnes,others,NEU
@sh3luvs.jhailya,sh3luvs jhailya,others,NEU
@xholly_2005,xholly_2005,others,NEU
@shanedawson,shanedawson,others,NEU
@itsavaiguess,itsavaiguess,others,NEU
@.brenlynn,brenlynn,others,NEU
@lukewarm_chai_tea,lukewarm_chai_tea,others,NEU
@user12467899081 @octodaddyismyfav,user12467899081 octodaddyismyfav,others,POS
@hyunjin_straykidsfan,hyunjin_straykidsfan,others,NEU
@Shadowlover🥺,shadowlover,others,NEU
@Holly,holly,others,NEU
@lightfury_free,lightfury_free,others,NEU
@toeller,toeller,others,NEU
@tobey smith,tobey smith,others,NEU
the phone screamed Android the emojis screamed iPhone they both screamed Hol up wait a minute some ain't right,emojis screamed iphone,disgust,NEU
Wait how come u have android and u have iPhone emojis ?? 👁👄👁,android iphone emojis,surprise,NEU
when you had the same haircut for years,haircut years,others,NEU
Are you still trying to convince us? Come on,trying convince,disgust,NEU
BRUH COME GET HER @shanedawson,bruh come shanedawson,others,NEU
She’s literally human y’all lol,literally human lol,others,NEU
who else just saw this in 2021 ???,just saw 2021,others,NEU
You all didn't know some Androids had the same emojis as an iPhone i-,androids emojis iphone,others,NEU
Ok so she’s a robot but she is like a human,robot like human,others,NEU
you look like anime😅😳🥺,look like,others,NEU
It looks so realistic tho,looks realistic tho,others,POS
I'm still confused,confused,others,NEG
iphone emojis with an android...,iphone emojis android,others,NEU
Are you really,really,surprise,NEU
Imagine if she gets canceled for saying the n word,canceled saying word,disgust,NEG
You look cool,look cool,others,POS
@iamapurpledino1 she's a robot 😳,robot,others,NEU
Why do you try so hard,try hard,disgust,NEG
When she has an android but somehow has iPhone emojis 😶,android iphone emojis,others,NEU
Welcome to fact or cap..,welcome fact cap,others,NEU
Sponsored by Cricket,sponsored cricket,others,NEU
But your bio says your a robot,bio says robot,disgust,NEU
@qtschr is the wall single,qtschr wall single,others,NEU
how do u have iphone emojis if ur filming on an android 🤔,iphone emojis,others,NEU
go live then.,live,others,NEU
but seriously are u a human-?,seriously human,others,NEU
@zzzzzzzz111aaa paaiskint gali ?,zzzzzzzz111aaa paaiskint gali,others,NEU
song name,song,others,NEU
Her eyes,eyes,others,NEU
She be giving me Addison’s mom vibes,addison mom vibes,others,NEU
There who are the people behind the camera,people camera,others,NEU
@romy_roseee i am scared,romy_roseee scared,fear,NEG
she's a human you all,human,others,NEU
how she gotta android and using iphone emojis,iphone emojis,others,NEU
Do you even have feelings 👁👄👁,feelings,others,NEG
i will forever be confused,forever confused,others,NEG
@redberry.cos @hydrojellyfish she- she is a robot,robot,others,NEU
🙃🙃🙃 dude I'm using Android lol, you have samsung, how are you using Apple Emojis? •^•,using apple emojis,others,NEU
but are you going to answer,going answer,others,NEU
HER EYES,eyes,surprise,NEU
shaneee dawsonnn where are you sheds abckkk,shaneee dawsonnn sheds,others,NEU
This is a joke right?,joke right,disgust,NEG
Life is strange....,life strange,others,NEG
Ur android have iPhone emojis wow,android iphone emojis,surprise,POS
You mean you and yourself?,mean,others,NEU
when she has an Android and magically has iPhone emojis 🥵🥵🥵,magically iphone emojis,others,NEU
Are. You,Are. You,others,NEU
Hi,hi,others,NEU
You are more perfect than ✨I✨ will ever be 🤩,perfect,joy,POS
girl they messed up your eyes,messed eyes,others,NEG
agh she's on tiktok why,tiktok,others,NEU
Because your are not😂😂,Because your are not😂😂,others,NEG
It’s an Android quality androids have to quality too,androids quality,others,NEU
why is this in my fyp in 2021 ☠☠,fyp 2021,others,NEG
she looks edited,looks edited,others,NEG
She’s not human. This is why I don’t trust anyone cause Yall tryna make robots the future. Humans are beautiful not robots,humans beautiful robots,disgust,NEG
Why there only answers,answers,others,NEU
Wait whattt are u,wait whattt,surprise,NEU
waitttttt she got andriod but iphone emojis,andriod iphone emojis,others,NEU
wait how she got iPhone emojis???,got iphone emojis,surprise,NEU
Android has Android 🤯,android android,others,NEU
how she got a samsung but iphone emojis yall think bot that,samsung iphone emojis,others,NEU
Your very pretty tho🥺,pretty,joy,POS
its a android with a android in the hand and has apple emojis,android hand apple,others,NEU
why are all of these comments from 2020 oop,comments 2020 oop,others,NEG
They are just jealous of your beauty😁😌,just jealous beauty,others,NEU
SHE HAS AN ANDROID 😬😬😬😬😅😳,android,others,NEU
I got the same phone!😳😂,got phone,others,NEU
I'm curious but how you're hair stay so still,hair stay,others,NEU
@anyeonghaseyo_bts7 she looks like she belongs to polar express,belongs polar express,others,NEU
Where the hell are connor and hank when you need them ?? 😳,connor hank need,others,NEG
PLSSS YOUR SO PERFECT 🤩,plsss perfect,joy,POS
Remind me of my mum Grace Hey I’m number 8 Y/n Hargreaves 😁,hey number hargreaves,others,NEU
Are you,Are you,others,NEU
i like ur robot hands,ur robot hands,others,POS
I‘m confused...,confused,surprise,NEG
like your video,like video,others,NEU
(sus noises) she's oddly smooth-,oddly smooth,others,NEU
happy🙃,happy,joy,POS
Your very pretty,pretty,joy,POS
why is there only 9 comments,comments,others,NEU
dont listen to them girl you are beautiful 🥺,listen girl beautiful,others,POS
@beverlyswife she still scares me,beverlyswife,fear,NEG
i’m too high,high,others,NEG
Sorry for making u cry,sorry making,sadness,NEG
You have the same phone as my dad 😂,phone dad,others,NEU
@sirwaffle2.0 @hen_o @professorjh @alyshiaa.m this sound is str8 nostalgia,sound str8 nostalgia,others,NEU
@patricia.hnt what ?,patricia hnt,others,NEU
where are the comments,comments,others,NEU
what app is this,app,others,NEU
hi,hi,others,NEU
What the -,What the -,surprise,NEG
🙃,🙃,others,NEU
🙃,🙃,others,NEU
She’s a person that has a filter thing on,filter thing,others,NEU
THIS GIRL IS HELLA PRETTY PERIOD.😌,girl hella pretty,joy,POS
android with apple emojis...noice,android apple emojis,others,POS
it even says in the bio that its a robot,bio robot,others,NEU
Your holding your best friend😐,holding best,others,NEU
She an icon,icon,joy,POS
It’s just technology 😂😂,just technology,others,NEU
is that a one plus+,plus,others,NEU
@jotarotard._ true 😭😭,jotarotard true,others,NEU
MAKE A VIDEO OUTSIDE,make video outside,others,NEU
people are animating here into videos 👻,people animating videos,others,NEU
I would love to be you,love,others,POS
pretty🙌,pretty,others,NEU
YALL TIKTOK CONVERTS THE EMOJIS CHILL 😐😐😐😐😐,tiktok converts emojis,others,NEU
I have the same phone,phone,others,NEU
I forgot about you..,forgot,sadness,NEU
wht does she remind me of poppy,does remind poppy,others,NEU
Ok can we be smarter and not believe it...,ok smarter believe,others,NEU
this vid from 2020...it’s 2021,vid 2020 2021,others,NEU
I HAVE THAT PHONE ITS STYLO 6 RIGHT,phone stylo right,others,NEU
I’m confused,confused,others,NEG
How did I get here,did,others,NEU
Yo no way u so pretty,yo way pretty,surprise,POS
👁👄👁 wow never seen someone so pretty,wow seen pretty,joy,POS
@blanket_boyzay 😂,blanket_boyzay,others,NEU
androids have that emoji 0_0,androids emoji 0_0,surprise,NEU
@cyb3rsick this bothers meeeeeee😭,cyb3rsick bothers meeeeeee,others,NEG
I DONT GET IT.... Thts a android wit apple emojis??,apple emojis,others,NEG
Why we ask is that your to pretty🥰🥰🥰,ask,others,NEU
😳 Do you date humans?,date humans,others,NEU
jeez your scary with that look those eyes not too be mean,scary look eyes,others,NEG
Bro I’m so late I jus got this on my fyp,bro late,others,NEU
I thought this was a game character.... I'm sorry,game character sorry,others,NEG
oh my god we got the same phone :0,phone,surprise,POS
Hey a human created that robot,human created robot,others,NEU
I can’t tell if she is actually human or not,actually human,surprise,NEG
it's a filter,filter,others,NEU
when websites ask are you human,websites ask human,others,NEU
My only friend is a robot and I'm fine with that :),friend robot fine,others,POS
Hi,hi,others,NEU
She’s a person she just not showing her face,person,others,NEU
TRUST IN GOD,trust god,others,POS
😂😂,😂😂,others,NEU
🙂🙃,🙂🙃,others,NEU
What name this music?,music,others,NEU
Girl no matter what u are , ur just too cute for me to handle it 🥲 btw what kpop group do u like the most?,handle btw kpop,others,POS
What? How?,What? How?,surprise,NEU
Aww i see your spending time with your cousin,spending time cousin,joy,POS
Music name plss,music plss,others,NEU
this tiktok i Instagram use for add,tiktok instagram use,others,NEU
You're like a anime girl,like anime girl,others,NEU
@katetheungreat I saw this when it came out on my old account 😭,katetheungreat,others,NEU
How do robots even have feelings,robots feelings,others,NEG
i swear this girl always has a different phone smh,girl different phone,disgust,NEG
it s ays on the enternet that this guy drew u for his music video😂,guy drew music,others,NEU
What song is this,song,others,NEU
So what if your built different were all the same in the end,built different,others,NEU
So what if your built different were all the same in the end,built different,others,NEU
i can't tell,tell,others,NEU
are you,are you,others,NEU
It’s not an it she is a girl and y’all need to respect that and she may be a robot but that don’t matter,respect robot,others,NEU
... I guess we'll never know 🧍‍♀️,guess ll know,others,NEG
She is a girl that’s all she is not an “it”,girl,others,NEU
GINNY AND GEORGIA,ginny georgia,others,NEU
pretty 🦋,pretty,others,NEU
😳sheeeesh new hair do when is it today or right now😂,new hair today,surprise,NEU
The last time she was on my fyp was at Christmas..,fyp christmas,others,NEU
I'm still very confused,confused,others,NEG
samsung galaxy s10+ with iphone emojis...sus,iphone emojis sus,others,NEU
battle angel,battle angel,others,NEU
question who made you...?,question,others,NEU
shes not she got an android and those emojis are iphone,shes got android,others,NEU
Ok now I get why this is sponsored but why is everybody else’s videos sponsored?,videos sponsored,others,NEU
How his,How his,others,NEU
confused as hell,confused hell,others,NEG
guys this was in 2020-,2020,others,NEU
this on my fyp now?!?!,fyp,others,NEU
can you put your hand in front of your face🥺🥺🥺🥺,hand,others,NEU
she kinda looks like that one girl from polar express 😭,girl polar express,others,NEU
omg shes so pretty 🥰 I could never be so pretty,omg shes pretty,surprise,POS
🙃🙃🙃,🙃🙃🙃,others,NEU
How does a robot look better than me honestly😂,robot look better,others,NEG
why are her eyes 2 different sizes,eyes different sizes,others,NEU
second time you popped up on my fyp,second time,others,NEU
🙃🙃🙃,🙃🙃🙃,others,NEU
How do you have an android with apple emojis?,android apple emojis,others,NEU
🙃🙃,🙃🙃,others,NEU
🙃🙃🙃,🙃🙃🙃,others,NEU
Who made you,Who made you,others,NEU
wait hold up why you have a Samsung when u have apple emojis,samsung apple emojis,others,NEU
she is a robot how do u not see it,robot,disgust,NEG
Well we do kno they make robots 😅🤖.,kno make robots,others,NEU
she's an android and she is holding an android 😅,android holding android,others,NEU
I have that same phone😌,phone,others,NEU
it’s a app she uses,app,others,NEU
pick me pick meee,pick pick meee,others,NEU
The Emojis are for iPhone when she has an Android...,emojis iphone android,others,NEU
My head hurts seeing this,head hurts seeing,sadness,NEG
how is no one talking about the android but Iphone emojis😀✋,android iphone,others,NEU
android phone wit apple emoji? litty,apple emoji litty,others,POS
She looks like Sid from toy story BYE-😭,sid toy,disgust,NEU
brooooo,brooooo,others,NEU
😳😳😳😳😳😳😳😌😬,😳😳😳😳😳😳😳😌😬,others,NEU
It looks like your not though,looks like,disgust,NEU
AYO WHO OWNS THIS ACCOUNT,ayo owns account,others,NEU
Wait your a girl right? but your also a robot? But you don’t have to deal with periods? YOU ARE SO LUCKY,periods lucky,others,POS
Ok now I get why this is sponsored but why is everybody else’s videos sponsored?,videos sponsored,others,NEU
How his,How his,others,NEU
confused as hell,confused hell,others,NEG
she kinda looks like that one girl from polar express 😭,girl polar express,others,NEU
😶🤚can I become one too? no need to be human any longer than this😬,need human longer,others,NEU
this on my fyp now?!?!,fyp,others,NEU
guys this was in 2020-,2020,others,NEU
can you put your hand in front of your face🥺🥺🥺🥺,hand,others,NEU
How does a robot look better than me honestly😂,robot look better,others,NEG
🙃🙃🙃,🙃🙃🙃,others,NEU
How do you have an android with apple emojis?,android apple emojis,others,NEU
second time you popped up on my fyp,second time,others,NEU
why are her eyes 2 different sizes,eyes different sizes,others,NEU
shes using a samsung😏,shes using,others,NEU
omg shes so pretty 🥰 I could never be so pretty,omg shes pretty,surprise,POS
wait hold up why you have a Samsung when u have apple emojis,samsung apple emojis,others,NEU
🙃🙃,🙃🙃,others,NEU
Who made you,Who made you,others,NEU
Someone please I’m not trynna be rude but am I trippin or is she some kinda cartoon. Cause she a lil too cute😅😅??,trippin kinda cartoon,surprise,NEU
your so beautiful 🥺🥺,beautiful,joy,POS
